time,passbuf,neuron,mac,bias,sum,tanh_in,tanh_out
436715000,1,1,03cb,0359,00724,0724,03c8
440995000,1,2,ff75,0240,001b5,01b5,019c
445275000,1,3,0226,fce2,3ff08,ff08,ff0d
449555000,1,4,02e8,03fa,006e2,06e2,03c0
453835000,1,5,0173,0309,0047c,047c,033b
458115000,1,6,07e8,fe45,0062d,062d,03a7
462395000,1,7,f900,02b2,3fbb2,fbb2,fcd5
466675000,1,8,fee2,fcda,3fbbc,fbbc,fcd9
470955000,1,9,012f,03fe,0052d,052d,0371
475235000,1,10,015c,0153,002af,02af,0258
479515000,1,11,fe56,0133,3ff89,ff89,ff8a
483795000,1,12,fc9a,fcb9,3f953,f953,fc46
488075000,1,13,022a,032d,00557,0557,037b
492355000,1,14,fe3c,fc3b,3fa77,fa77,fc79
496635000,1,15,fd5d,fded,3fb4a,fb4a,fcb1
500915000,1,16,012b,fd25,3fe50,fe50,fe68
505195000,1,17,ff2c,0237,00163,0163,0155
509475000,1,18,04ec,fd96,00282,0282,0239
513755000,1,19,0127,0349,00470,0470,0337
518035000,1,20,fecf,0140,0000f,000f,000f
522315000,1,21,004e,fc4a,3fc98,fc98,fd3c
526595000,1,22,fd87,fc0b,3f992,f992,fc4f
530875000,1,23,003b,fc6a,3fca5,fca5,fd42
535155000,1,24,02be,00d9,00397,0397,02dc
539435000,1,25,fcdc,0269,3ff45,ff45,ff47
543715000,1,26,ff48,fde9,3fd31,fd31,fd94
547995000,1,27,fc7c,02cc,3ff48,ff48,ff4a
552275000,1,28,ff75,fc75,3fbea,fbea,fceb
556555000,1,29,0053,0268,002bb,02bb,025f
560835000,1,30,feeb,036c,00257,0257,021b
565115000,1,31,025d,022d,0048a,048a,0340
569395000,1,32,fe90,0196,00026,0026,0026
573675000,1,33,005c,02b4,00310,0310,0294
577955000,1,34,00a7,fc52,3fcf9,fcf9,fd71
582235000,1,35,ff24,fd9d,3fcc1,fcc1,fd51
586515000,1,36,ffc6,fd00,3fcc6,fcc6,fd54
590795000,1,37,050b,0009,00514,0514,036a
595075000,1,38,014d,01f6,00343,0343,02b1
599355000,1,39,fd88,010a,3fe92,fe92,fea1
603635000,1,40,f7fc,02cf,3facb,facb,fc8d
607915000,1,41,0151,fd3e,3fe8f,fe8f,fe9e
612195000,1,42,fc63,01e1,3fe44,fe44,fe5e
616475000,1,43,fe94,fd8b,3fc1f,fc1f,fd01
620755000,1,44,ff76,fe2b,3fda1,fda1,fddf
625035000,1,45,000a,01ae,001b8,01b8,019f
629315000,1,46,002d,03d7,00404,0404,030e
633595000,1,47,0026,00e4,0010a,010a,0104
637875000,1,48,fce9,fc70,3f959,f959,fc47
642155000,1,49,fcc5,00ee,3fdb3,fdb3,fdec
646435000,1,50,fffd,fc57,3fc54,fc54,fd1a
650715000,1,51,fc77,0313,3ff8a,ff8a,ff8b
654995000,1,52,fff2,01ad,0019f,019f,018a
659275000,1,53,0149,fd63,3feac,feac,feb8
663555000,1,54,ff69,fcbc,3fc25,fc25,fd04
667835000,1,55,fffe,fd78,3fd76,fd76,fdc1
672115000,1,56,fd17,03d7,000ee,00ee,00ea
676395000,1,57,0198,ffab,00143,0143,0139
680675000,1,58,00a2,0246,002e8,02e8,027c
684955000,1,59,fe04,0117,3ff1b,ff1b,ff1f
689235000,1,60,01b4,0094,00248,0248,0210
693515000,1,61,003d,fd29,3fd66,fd66,fdb6
697795000,1,62,0528,0391,008b9,08b9,03e6
702075000,1,63,fff0,fe69,3fe59,fe59,fe70
706355000,1,64,02b7,00a0,00357,0357,02bc
710635000,1,65,feed,0199,00086,0086,0085
714915000,1,66,01e1,0132,00313,0313,0296
719195000,1,67,fc87,0386,0000d,000d,000d
723475000,1,68,ffbf,fd30,3fcef,fcef,fd6c
727755000,1,69,0073,0011,00084,0084,0083
732035000,1,70,fe90,ff3b,3fdcb,fdcb,fdfe
736315000,1,71,fdd8,ffcb,3fda3,fda3,fde1
740595000,1,72,ff54,fcf4,3fc48,fc48,fd14
744875000,1,73,0271,fd13,3ff84,ff84,ff85
749155000,1,74,ff71,fe39,3fdaa,fdaa,fde6
753435000,1,75,fedc,fe70,3fd4c,fd4c,fda5
757715000,1,76,0148,ff6c,000b4,00b4,00b2
761995000,1,77,fb97,00e3,3fc7a,fc7a,fd2c
766275000,1,78,0181,0114,00295,0295,0246
770555000,1,79,fbb0,ff4b,3fafb,fafb,fc9a
774835000,1,80,0015,ff45,3ff5a,ff5a,ff5b
779115000,1,81,0303,fdbe,000c1,00c1,00bf
783395000,1,82,011c,00b5,001d1,01d1,01b3
787675000,1,83,00cf,fe89,3ff58,ff58,ff59
791955000,1,84,fcd3,fc4a,3f91d,f91d,fc3f
796235000,1,85,fb9c,ff59,3faf5,faf5,fc98
800515000,1,86,020a,ffcb,001d5,01d5,01b7
804795000,1,87,00bd,fdce,3fe8b,fe8b,fe9b
809075000,1,88,00b7,0094,0014b,014b,0140
813355000,1,89,ffa1,0087,00028,0028,0028
817635000,1,90,0249,019e,003e7,03e7,0301
821915000,1,91,01d9,012f,00308,0308,028f
826195000,1,92,feb3,0138,3ffeb,ffeb,ffeb
830475000,1,93,fdc3,fe88,3fc4b,fc4b,fd15
834755000,1,94,ff69,024d,001b6,01b6,019d
839035000,1,95,fd1f,0065,3fd84,fd84,fdcb
843315000,1,96,013a,ff74,000ae,00ae,00ac
847595000,1,97,febe,0102,3ffc0,ffc0,ffc0
851875000,1,98,feca,fee3,3fdad,fdad,fde8
856155000,1,99,01e6,001a,00200,0200,01d9
