Pass,Neuron,Win_u_real,Win_u_raw,Win_u_hex,Wx_real,Wx_raw,Wx_hex,MAC_real,MAC_raw,MAC_hex,Bias_real,Bias_raw,Bias_hex,NeuronSum_real,NeuronSum_raw,NeuronSum_hex,Clipped,TanhInput,TanhOutput,x_next_real,x_next_raw,x_next_hex
1,38,-0.372505,-390600,FFFA0A38,0.000000,0,00000000,-0.372070,-381,FE83,0.490234,502,01F6,0.118164,121,0079,False,0.118164,0.117617,0.117188,120,0078
1,39,-0.111389,-116800,FFFE37C0,0.000000,0,00000000,-0.111328,-114,FF8E,0.259766,266,010A,0.148438,152,0098,False,0.148438,0.147357,0.147461,151,0097
1,40,-0.750542,-787000,FFF3FDC8,0.000000,0,00000000,-0.750977,-769,FCFF,0.702148,719,02CF,-0.048828,-50,FFCE,False,-0.048828,-0.048789,-0.048828,-50,FFCE
1,41,0.321674,337300,00052594,0.000000,0,00000000,0.321289,329,0149,-0.689453,-706,FD3E,-0.368164,-377,FE87,False,-0.368164,-0.352385,-0.352539,-361,FE97
1,42,-0.539684,-565900,FFF75D74,0.000000,0,00000000,-0.540039,-553,FDD7,0.469727,481,01E1,-0.070312,-72,FFB8,False,-0.070312,-0.070197,-0.070312,-72,FFB8
1,43,-0.703621,-737800,FFF4BDF8,0.000000,0,00000000,-0.704102,-721,FD2F,-0.614258,-629,FD8B,-1.318359,-1350,FABA,False,-1.318359,-0.866375,-0.866211,-887,FC89
1,44,-0.221062,-231800,FFFC7688,0.000000,0,00000000,-0.220703,-226,FF1E,-0.458008,-469,FE2B,-0.678711,-695,FD49,False,-0.678711,-0.590681,-0.590820,-605,FDA3
1,45,-0.107098,-112300,FFFE4954,0.000000,0,00000000,-0.107422,-110,FF92,0.419922,430,01AE,0.312500,320,0140,False,0.312500,0.302710,0.302734,310,0136
1,46,-0.095558,-100200,FFFE7898,0.000000,0,00000000,-0.095703,-98,FF9E,0.959961,983,03D7,0.864258,885,0375,False,0.864258,0.698445,0.698242,715,02CB
1,47,0.450039,471900,0007335C,0.000000,0,00000000,0.450195,461,01CD,0.222656,228,00E4,0.672852,689,02B1,False,0.672852,0.586853,0.586914,601,0259
1,48,-0.677872,-710800,FFF52770,0.000000,0,00000000,-0.677734,-694,FD4A,-0.890625,-912,FC70,-1.568359,-1606,F9BA,False,-1.568359,-0.916764,-0.916992,-939,FC55
1,49,-0.389862,-408800,FFF9C320,0.000000,0,00000000,-0.389648,-399,FE71,0.232422,238,00EE,-0.157227,-161,FF5F,False,-0.157227,-0.155944,-0.156250,-160,FF60
1,50,-0.275135,-288500,FFFB990C,0.000000,0,00000000,-0.275391,-282,FEE6,-0.915039,-937,FC57,-1.190430,-1219,FB3D,False,-1.190430,-0.830712,-0.831055,-851,FCAD
1,51,-0.182438,-191300,FFFD14BC,0.000000,0,00000000,-0.182617,-187,FF45,0.768555,787,0313,0.585938,600,0258,False,0.585938,0.526968,0.527344,540,021C
1,52,-0.134659,-141200,FFFDD870,0.000000,0,00000000,-0.134766,-138,FF76,0.418945,429,01AD,0.284180,291,0123,False,0.284180,0.276769,0.276367,283,011B
1,53,-0.282860,-296600,FFFB7968,0.000000,0,00000000,-0.283203,-290,FEDE,-0.653320,-669,FD63,-0.936523,-959,FC41,False,-0.936523,-0.733621,-0.733398,-751,FD11
1,54,0.224876,235800,00039918,0.000000,0,00000000,0.224609,230,00E6,-0.816406,-836,FCBC,-0.591797,-606,FDA2,False,-0.591797,-0.531187,-0.531250,-544,FDE0
1,55,0.044727,46900,0000B734,0.000000,0,00000000,0.044922,46,002E,-0.632812,-648,FD78,-0.587891,-602,FDA6,False,-0.587891,-0.528377,-0.528320,-541,FDE3
1,56,-0.631714,-662400,FFF5E480,0.000000,0,00000000,-0.631836,-647,FD79,0.959961,983,03D7,0.328125,336,0150,False,0.328125,0.316835,0.316406,324,0144
1,57,0.229836,241000,0003AD68,0.000000,0,00000000,0.229492,235,00EB,-0.083008,-85,FFAB,0.146484,150,0096,False,0.146484,0.145446,0.145508,149,0095
1,58,0.426674,447400,0006D3A8,0.000000,0,00000000,0.426758,437,01B5,0.568359,582,0246,0.995117,1019,03FB,False,0.995117,0.759536,0.759766,778,030A
1,59,-0.506115,-530700,FFF7E6F4,0.000000,0,00000000,-0.505859,-518,FDFA,0.272461,279,0117,-0.233398,-239,FF11,False,-0.233398,-0.229251,-0.229492,-235,FF15
1,60,-0.137329,-144000,FFFDCD80,0.000000,0,00000000,-0.137695,-141,FF73,0.144531,148,0094,0.006836,7,0007,False,0.006836,0.006836,0.006836,7,0007
1,61,-0.201988,-211800,FFFCC4A8,0.000000,0,00000000,-0.202148,-207,FF31,-0.709961,-727,FD29,-0.912109,-934,FC5A,False,-0.912109,-0.722143,-0.721680,-739,FD1D
1,62,0.115299,120900,0001D844,0.000000,0,00000000,0.115234,118,0076,0.891602,913,0391,1.006836,1031,0407,False,1.006836,0.764450,0.764648,783,030F
1,63,0.115204,120800,0001D7E0,0.000000,0,00000000,0.115234,118,0076,-0.397461,-407,FE69,-0.282227,-289,FEDF,False,-0.282227,-0.274965,-0.275391,-282,FEE6
1,64,0.342655,359300,00057B84,0.000000,0,00000000,0.342773,351,015F,0.156250,160,00A0,0.499023,511,01FF,False,0.499023,0.461349,0.460938,472,01D8
1,65,-0.604630,-634000,FFF65370,0.000000,0,00000000,-0.604492,-619,FD95,0.399414,409,0199,-0.205078,-210,FF2E,False,-0.205078,-0.202251,-0.202148,-207,FF31
1,66,0.356197,373500,0005B2FC,0.000000,0,00000000,0.356445,365,016D,0.298828,306,0132,0.655273,671,029F,False,0.655273,0.575209,0.575195,589,024D
1,67,-0.088215,-92500,FFFE96AC,0.000000,0,00000000,-0.087891,-90,FFA6,0.880859,902,0386,0.792969,812,032C,False,0.792969,0.660088,0.660156,676,02A4
1,68,-0.283337,-297100,FFFB7774,0.000000,0,00000000,-0.283203,-290,FEDE,-0.703125,-720,FD30,-0.986328,-1010,FC0E,False,-0.986328,-0.755792,-0.755859,-774,FCFA
1,69,0.104904,110000,0001ADB0,0.000000,0,00000000,0.104492,107,006B,0.016602,17,0011,0.121094,124,007C,False,0.121094,0.120505,0.120117,123,007B
1,70,-0.170517,-178800,FFFD4590,0.000000,0,00000000,-0.170898,-175,FF51,-0.192383,-197,FF3B,-0.363281,-372,FE8C,False,-0.363281,-0.348101,-0.347656,-356,FE9C
1,71,-0.093746,-98300,FFFE8004,0.000000,0,00000000,-0.093750,-96,FFA0,-0.051758,-53,FFCB,-0.145508,-149,FF6B,False,-0.145508,-0.144490,-0.144531,-148,FF6C
1,72,0.368023,385900,0005E36C,0.000000,0,00000000,0.368164,377,0179,-0.761719,-780,FCF4,-0.393555,-403,FE6D,False,-0.393555,-0.374421,-0.374023,-383,FE81
1,73,0.775051,812700,000C669C,0.000000,0,00000000,0.775391,794,031A,-0.731445,-749,FD13,0.043945,45,002D,False,0.043945,0.043917,0.043945,45,002D
1,74,0.181770,190600,0002E888,0.000000,0,00000000,0.181641,186,00BA,-0.444336,-455,FE39,-0.262695,-269,FEF3,False,-0.262695,-0.256815,-0.256836,-263,FEF9
1,75,0.465584,488200,00077308,0.000000,0,00000000,0.465820,477,01DD,-0.390625,-400,FE70,0.075195,77,004D,False,0.075195,0.075054,0.075195,77,004D
1,76,0.220871,231600,000388B0,0.000000,0,00000000,0.220703,226,00E2,-0.144531,-148,FF6C,0.076172,78,004E,False,0.076172,0.076025,0.076172,78,004E
1,77,0.119972,125800,0001EB68,0.000000,0,00000000,0.120117,123,007B,0.221680,227,00E3,0.341797,350,015E,False,0.341797,0.329081,0.329102,337,0151
1,78,-0.139332,-146100,FFFDC54C,0.000000,0,00000000,-0.139648,-143,FF71,0.269531,276,0114,0.129883,133,0085,False,0.129883,0.129157,0.128906,132,0084
1,79,-0.207329,-217400,FFFCAEC8,0.000000,0,00000000,-0.207031,-212,FF2C,-0.176758,-181,FF4B,-0.383789,-393,FE77,False,-0.383789,-0.365994,-0.366211,-375,FE89
1,80,0.198746,208400,00032E10,0.000000,0,00000000,0.199219,204,00CC,-0.182617,-187,FF45,0.016602,17,0011,False,0.016602,0.016600,0.016602,17,0011
1,81,0.210476,220700,00035E1C,0.000000,0,00000000,0.210938,216,00D8,-0.564453,-578,FDBE,-0.353516,-362,FE96,False,-0.353516,-0.339490,-0.339844,-348,FEA4
1,82,0.277042,290500,00046EC4,0.000000,0,00000000,0.277344,284,011C,0.176758,181,00B5,0.454102,465,01D1,False,0.454102,0.425265,0.424805,435,01B3
1,83,-0.289059,-303100,FFFB6004,0.000000,0,00000000,-0.289062,-296,FED8,-0.366211,-375,FE89,-0.655273,-671,FD61,False,-0.655273,-0.575209,-0.575195,-589,FDB3
1,84,-0.490570,-514400,FFF826A0,0.000000,0,00000000,-0.490234,-502,FE0A,-0.927734,-950,FC4A,-1.417969,-1452,FA54,False,-1.417969,-0.889174,-0.889648,-911,FC71
1,85,-0.435352,-456500,FFF908CC,0.000000,0,00000000,-0.435547,-446,FE42,-0.163086,-167,FF59,-0.598633,-613,FD9B,False,-0.598633,-0.536076,-0.536133,-549,FDDB
1,86,0.061226,64200,0000FAC8,0.000000,0,00000000,0.061523,63,003F,-0.051758,-53,FFCB,0.009766,10,000A,False,0.009766,0.009765,0.009766,10,000A
1,87,0.350094,367100,000599FC,0.000000,0,00000000,0.349609,358,0166,-0.548828,-562,FDCE,-0.199219,-204,FF34,False,-0.199219,-0.196624,-0.196289,-201,FF37
1,88,-0.027370,-28700,FFFF8FE4,0.000000,0,00000000,-0.027344,-28,FFE4,0.144531,148,0094,0.117188,120,0078,False,0.117188,0.116654,0.116211,119,0077
1,89,-0.062656,-65700,FFFEFF5C,0.000000,0,00000000,-0.062500,-64,FFC0,0.131836,135,0087,0.069336,71,0047,False,0.069336,0.069225,0.069336,71,0047
1,90,0.319767,335300,00051DC4,0.000000,0,00000000,0.319336,327,0147,0.404297,414,019E,0.723633,741,02E5,False,0.723633,0.619155,0.619141,634,027A
1,91,0.296783,311200,0004BFA0,0.000000,0,00000000,0.296875,304,0130,0.295898,303,012F,0.592773,607,025F,False,0.592773,0.531887,0.532227,545,0221
1,92,-0.351048,-368100,FFFA621C,0.000000,0,00000000,-0.350586,-359,FE99,0.304688,312,0138,-0.045898,-47,FFD1,False,-0.045898,-0.045866,-0.045898,-47,FFD1
1,93,-0.137043,-143700,FFFDCEAC,0.000000,0,00000000,-0.136719,-140,FF74,-0.367188,-376,FE88,-0.503906,-516,FDFC,False,-0.503906,-0.465184,-0.464844,-476,FE24
1,94,0.303173,317900,0004D9CC,0.000000,0,00000000,0.302734,310,0136,0.575195,589,024D,0.877930,899,0383,False,0.877930,0.705381,0.705078,722,02D2
1,95,-0.203991,-213900,FFFCBC74,0.000000,0,00000000,-0.204102,-209,FF2F,0.098633,101,0065,-0.105469,-108,FF94,False,-0.105469,-0.105079,-0.105469,-108,FF94
1,96,-0.279522,-293100,FFFB8714,0.000000,0,00000000,-0.279297,-286,FEE2,-0.136719,-140,FF74,-0.416016,-426,FE56,False,-0.416016,-0.393569,-0.393555,-403,FE6D
1,97,-0.517559,-542700,FFF7B814,0.000000,0,00000000,-0.517578,-530,FDEE,0.251953,258,0102,-0.265625,-272,FEF0,False,-0.265625,-0.259549,-0.259766,-266,FEF6
1,98,-0.293064,-307300,FFFB4F9C,0.000000,0,00000000,-0.292969,-300,FED4,-0.278320,-285,FEE3,-0.571289,-585,FDB7,False,-0.571289,-0.516305,-0.516602,-529,FDEF
1,99,0.322914,338600,00052AA8,0.000000,0,00000000,0.323242,331,014B,0.025391,26,001A,0.348633,357,0165,False,0.348633,0.335162,0.334961,343,0157
2,0,0.386715,405500,00062FFC,0.918080,962677,000EB075,1.304688,1336,0538,-0.396484,-406,FE6A,0.908203,930,03A2,False,0.908203,0.720269,0.720703,738,02E2
2,1,-0.451374,-473300,FFF8C72C,1.399438,1467417,00166419,0.948242,971,03CB,0.836914,857,0359,1.785156,1828,0724,False,1.785156,0.945247,0.945312,968,03C8
2,2,-0.146294,-153400,FFFDA8C8,0.010900,11429,00002CA5,-0.135742,-139,FF75,0.562500,576,0240,0.426758,437,01B5,False,0.426758,0.402608,0.402344,412,019C
2,3,-0.243187,-255000,FFFC1BE8,0.780016,817906,000C7AF2,0.537109,550,0226,-0.779297,-798,FCE2,-0.242188,-248,FF08,False,-0.242188,-0.237561,-0.237305,-243,FF0D
2,4,0.526428,552000,00086C40,0.200429,210165,000334F5,0.726562,744,02E8,0.994141,1018,03FA,1.720703,1762,06E2,False,1.720703,0.937948,0.937500,960,03C0
2,5,0.525665,551200,00086920,-0.162990,-170907,FFFD6465,0.362305,371,0173,0.758789,777,0309,1.121094,1148,047C,False,1.121094,0.807949,0.807617,827,033B
2,6,0.299454,314000,0004CA90,1.677381,1758861,001AD68D,1.976562,2024,07E8,-0.432617,-443,FE45,1.543945,1581,062D,False,1.543945,0.912781,0.913086,935,03A7
2,7,-0.158787,-166500,FFFD759C,-1.591114,-1668404,FFE68ACC,-1.750000,-1792,F900,0.673828,690,02B2,-1.076172,-1102,FBB2,False,-1.076172,-0.791775,-0.791992,-811,FCD5
2,8,-0.073528,-77100,FFFED2D4,-0.205681,-215672,FFFCB588,-0.279297,-286,FEE2,-0.787109,-806,FCDA,-1.066406,-1092,FBBC,False,-1.066406,-0.788103,-0.788086,-807,FCD9
2,9,-0.271225,-284400,FFFBA910,0.567124,594673,000912F1,0.295898,303,012F,0.998047,1022,03FE,1.293945,1325,052D,False,1.293945,0.860156,0.860352,881,0371
2,10,-0.255108,-267500,FFFBEB14,0.594857,623753,00098489,0.339844,348,015C,0.331055,339,0153,0.670898,687,02AF,False,0.670898,0.585571,0.585938,600,0258
2,11,-0.128746,-135000,FFFDF0A8,-0.287363,-301322,FFFB66F6,-0.416016,-426,FE56,0.299805,307,0133,-0.116211,-119,FF89,False,-0.116211,-0.115691,-0.115234,-118,FF8A
2,12,0.174999,183500,0002CCCC,-1.024630,-1074402,FFEF9B1E,-0.849609,-870,FC9A,-0.819336,-839,FCB9,-1.668945,-1709,F953,False,-1.668945,-0.931412,-0.931641,-954,FC46
2,13,0.174236,182700,0002C9AC,0.366291,384084,0005DC54,0.541016,554,022A,0.793945,813,032D,1.334961,1367,0557,False,1.334961,0.870457,0.870117,891,037B
2,14,-0.293827,-308100,FFFB4C7C,-0.147900,-155084,FFFDA234,-0.441406,-452,FE3C,-0.942383,-965,FC3B,-1.383789,-1417,FA77,False,-1.383789,-0.881797,-0.881836,-903,FC79
2,15,0.198555,208200,00032D48,-0.857559,-899216,FFF24770,-0.659180,-675,FD5D,-0.518555,-531,FDED,-1.177734,-1206,FB4A,False,-1.177734,-0.826736,-0.827148,-847,FCB1
2,16,0.021744,22800,00005910,0.270374,283508,00045374,0.291992,299,012B,-0.713867,-731,FD25,-0.421875,-432,FE50,False,-0.421875,-0.398509,-0.398438,-408,FE68
2,17,-0.354767,-372000,FFFA52E0,0.148213,155413,00025F15,-0.207031,-212,FF2C,0.553711,567,0237,0.346680,355,0163,False,0.346680,0.333428,0.333008,341,0155
2,18,0.199699,209400,000331F8,1.030757,1080827,00107DFB,1.230469,1260,04EC,-0.603516,-618,FD96,0.626953,642,0282,False,0.626953,0.555951,0.555664,569,0239
2,19,-0.169945,-178200,FFFD47E8,0.458439,480708,000755C4,0.288086,295,0127,0.821289,841,0349,1.109375,1136,0470,False,1.109375,0.803841,0.803711,823,0337
2,20,0.227261,238300,0003A2DC,-0.524826,-550320,FFF79A50,-0.297852,-305,FECF,0.312500,320,0140,0.014648,15,000F,False,0.014648,0.014647,0.014648,15,000F
2,21,0.120258,126100,0001EC94,-0.044566,-46731,FFFF4975,0.076172,78,004E,-0.927734,-950,FC4A,-0.851562,-872,FC98,False,-0.851562,-0.691885,-0.691406,-708,FD3C
2,22,-0.296783,-311200,FFFB4060,-0.321109,-336707,FFFADCBD,-0.618164,-633,FD87,-0.989258,-1013,FC0B,-1.607422,-1646,F992,False,-1.607422,-0.922778,-0.922852,-945,FC4F
2,23,0.009441,9900,000026AC,0.047784,50105,0000C3B9,0.057617,59,003B,-0.896484,-918,FC6A,-0.838867,-859,FCA5,False,-0.838867,-0.685209,-0.685547,-702,FD42
2,24,0.182056,190900,0002E9B4,0.503842,528317,00080FBD,0.685547,702,02BE,0.211914,217,00D9,0.897461,919,0397,False,0.897461,0.715059,0.714844,732,02DC
2,25,0.083733,87800,000156F8,-0.868405,-910589,FFF21B03,-0.785156,-804,FCDC,0.602539,617,0269,-0.182617,-187,FF45,False,-0.182617,-0.180614,-0.180664,-185,FF47
2,26,-0.070286,-73700,FFFEE01C,-0.108941,-114233,FFFE41C7,-0.179688,-184,FF48,-0.522461,-535,FDE9,-0.702148,-719,FD31,False,-0.702148,-0.605730,-0.605469,-620,FD94
2,27,-0.626850,-657300,FFF5F86C,-0.251950,-264189,FFFBF803,-0.878906,-900,FC7C,0.699219,716,02CC,-0.179688,-184,FF48,False,-0.179688,-0.177778,-0.177734,-182,FF4A
2,28,-0.232029,-243300,FFFC499C,0.096388,101070,00018ACE,-0.135742,-139,FF75,-0.885742,-907,FC75,-1.021484,-1046,FBEA,False,-1.021484,-0.770470,-0.770508,-789,FCEB
2,29,-0.021553,-22600,FFFFA7B8,0.102164,107127,0001A277,0.081055,83,0053,0.601562,616,0268,0.682617,699,02BB,False,0.682617,0.593218,0.592773,607,025F
2,30,-0.246620,-258600,FFFC0DD8,-0.024101,-25272,FFFF9D48,-0.270508,-277,FEEB,0.855469,876,036C,0.584961,599,0257,False,0.584961,0.526262,0.526367,539,021B
2,31,-0.399876,-419300,FFF99A1C,0.990973,1039110,000FDB06,0.590820,605,025D,0.543945,557,022D,1.134766,1162,048A,False,1.134766,0.812644,0.812500,832,0340
2,32,-0.346279,-363100,FFFA75A4,-0.013337,-13985,FFFFC95F,-0.359375,-368,FE90,0.396484,406,0196,0.037109,38,0026,False,0.037109,0.037092,0.037109,38,0026
2,33,0.109577,114900,0001C0D4,-0.019567,-20517,FFFFAFDB,0.089844,92,005C,0.675781,692,02B4,0.765625,784,0310,False,0.765625,0.644378,0.644531,660,0294
2,34,0.311279,326400,0004FB00,-0.148490,-155703,FFFD9FC9,0.163086,167,00A7,-0.919922,-942,FC52,-0.756836,-775,FCF9,False,-0.756836,-0.639209,-0.639648,-655,FD71
2,35,0.184631,193600,0002F440,-0.399696,-419112,FFF99AD8,-0.214844,-220,FF24,-0.596680,-611,FD9D,-0.811523,-831,FCC1,False,-0.811523,-0.670430,-0.670898,-687,FD51
2,36,0.104713,109800,0001ACE8,-0.161786,-169645,FFFD6953,-0.056641,-58,FFC6,-0.750000,-768,FD00,-0.806641,-826,FCC6,False,-0.806641,-0.667733,-0.667969,-684,FD54
2,37,0.542831,569200,0008AF70,0.718191,753078,000B7DB6,1.260742,1291,050B,0.008789,9,0009,1.269531,1300,0514,False,1.269531,0.853671,0.853516,874,036A
2,38,-0.372505,-390600,FFFA0A38,0.697585,731471,000B294F,0.325195,333,014D,0.490234,502,01F6,0.815430,835,0343,False,0.815430,0.672575,0.672852,689,02B1
2,39,-0.111389,-116800,FFFE37C0,-0.506093,-530677,FFF7E70B,-0.617188,-632,FD88,0.259766,266,010A,-0.357422,-366,FE92,False,-0.357422,-0.342941,-0.342773,-351,FEA1
2,40,-0.750542,-787000,FFF3FDC8,-1.253265,-1314144,FFEBF2A0,-2.003906,-2052,F7FC,0.702148,719,02CF,-1.301758,-1333,FACB,False,-1.301758,-0.862175,-0.862305,-883,FC8D
2,41,0.321674,337300,00052594,0.007319,7675,00001DFB,0.329102,337,0151,-0.689453,-706,FD3E,-0.360352,-369,FE8F,False,-0.360352,-0.345524,-0.345703,-354,FE9E
2,42,-0.539684,-565900,FFF75D74,-0.363589,-381251,FFFA2EBD,-0.903320,-925,FC63,0.469727,481,01E1,-0.433594,-444,FE44,False,-0.433594,-0.408320,-0.408203,-418,FE5E
2,43,-0.703621,-737800,FFF4BDF8,0.348122,365032,000591E8,-0.355469,-364,FE94,-0.614258,-629,FD8B,-0.969727,-993,FC1F,False,-0.969727,-0.748584,-0.749023,-767,FD01
2,44,-0.221062,-231800,FFFC7688,0.085916,90089,00015FE9,-0.134766,-138,FF76,-0.458008,-469,FE2B,-0.592773,-607,FDA1,False,-0.592773,-0.531887,-0.532227,-545,FDDF
2,45,-0.107098,-112300,FFFE4954,0.117312,123011,0001E083,0.009766,10,000A,0.419922,430,01AE,0.429688,440,01B8,False,0.429688,0.405060,0.405273,415,019F
