pass,neuron,mac,bias,sum,tanh_in,tanh_out
1,43,fe94,fd8b,3fc1f,fc1f,fd01
1,44,ff76,fe2b,3fda1,fda1,fddf
1,45,000a,01ae,001b8,01b8,019f
1,46,002d,03d7,00404,0404,030e
1,47,0026,00e4,0010a,010a,0104
1,48,fce9,fc70,3f959,f959,fc47
1,49,fcc5,00ee,3fdb3,fdb3,fdec
1,50,fffd,fc57,3fc54,fc54,fd1a
1,51,fc77,0313,3ff8a,ff8a,ff8b
1,52,fff2,01ad,0019f,019f,018a
1,53,0149,fd63,3feac,feac,feb8
1,54,ff69,fcbc,3fc25,fc25,fd04
1,55,fffe,fd78,3fd76,fd76,fdc1
1,56,fd17,03d7,000ee,00ee,00ea
1,57,0198,ffab,00143,0143,0139
1,58,00a2,0246,002e8,02e8,027c
1,59,fe04,0117,3ff1b,ff1b,ff1f
1,60,01b4,0094,00248,0248,0210
1,61,003d,fd29,3fd66,fd66,fdb6
1,62,0528,0391,008b9,08b9,03e6
1,63,fff0,fe69,3fe59,fe59,fe70
1,64,02b7,00a0,00357,0357,02bc
1,65,feed,0199,00086,0086,0085
1,66,01e1,0132,00313,0313,0296
1,67,fc87,0386,0000d,000d,000d
1,68,ffbf,fd30,3fcef,fcef,fd6c
1,69,0073,0011,00084,0084,0083
1,70,fe90,ff3b,3fdcb,fdcb,fdfe
1,71,fdd8,ffcb,3fda3,fda3,fde1
1,72,ff54,fcf4,3fc48,fc48,fd14
1,73,0271,fd13,3ff84,ff84,ff85
1,74,ff71,fe39,3fdaa,fdaa,fde6
1,75,fedc,fe70,3fd4c,fd4c,fda5
1,76,0148,ff6c,000b4,00b4,00b2
1,77,fb97,00e3,3fc7a,fc7a,fd2c
1,78,0181,0114,00295,0295,0246
1,79,fbb0,ff4b,3fafb,fafb,fc9a
1,80,0015,ff45,3ff5a,ff5a,ff5b
1,81,0303,fdbe,000c1,00c1,00bf
1,82,011c,00b5,001d1,01d1,01b3
1,83,00cf,fe89,3ff58,ff58,ff59
1,84,fcd3,fc4a,3f91d,f91d,fc3f
1,85,fb9c,ff59,3faf5,faf5,fc98
1,86,020a,ffcb,001d5,01d5,01b7
1,87,00bd,fdce,3fe8b,fe8b,fe9b
1,88,00b7,0094,0014b,014b,0140
1,89,ffa1,0087,00028,0028,0028
1,90,0249,019e,003e7,03e7,0301
1,91,01d9,012f,00308,0308,028f
1,92,feb3,0138,3ffeb,ffeb,ffeb
1,93,fdc3,fe88,3fc4b,fc4b,fd15
1,94,ff69,024d,001b6,01b6,019d
1,95,fd1f,0065,3fd84,fd84,fdcb
1,96,013a,ff74,000ae,00ae,00ac
1,97,febe,0102,3ffc0,ffc0,ffc0
1,98,feca,fee3,3fdad,fdad,fde8
1,99,01e6,001a,00200,0200,01d9
